x1 x2 x3 x4 x5 label
19,70644 50 44,58957 33,03543 18,8293 0
19,70644 50 44,59134 33,0386 18,8293 0
19,70644 50 44,59494 33,04507 18,8293 0
19,70644 50 44,64029 33,12638 18,8293 0
19,70644 50 44,38737 32,98814 18,8293 0
19,70644 50 44,38737 32,98814 18,8293 0
19,70644 50 44,22553 32,89968 18,8293 0
19,70644 50 44,02799 32,79171 18,8293 0
19,70644 50 43,79833 32,66618 18,8293 0
19,70644 50 43,53975 32,52485 18,8293 0
19,70644 50 43,53975 32,52485 18,8293 0
19,70644 50 43,25515 32,36929 18,8293 0
19,70644 50 42,94713 32,20092 18,8293 0
19,70644 50 42,61802 32,02103 18,8293 0
19,70644 49,75982 42,26995 31,83077 18,8293 0
19,70644 49,35293 41,90481 31,63119 18,8293 0
19,70644 48,92889 41,52429 31,42319 18,8293 0
19,70644 48,92889 41,52429 31,42319 18,8293 0
19,70644 48,48946 41,12995 31,20765 18,8293 0
19,70644 48,03615 40,72316 30,98529 18,8293 0
19,70644 47,57036 40,30517 30,75681 18,8293 0
19,70644 47,09333 39,8771 30,47367 18,8293 0
19,70644 46,6062 39,43995 30,17878 18,8293 0
19,70644 46,10996 38,99464 29,87838 18,8293 0
19,70644 46,10996 38,99464 29,87838 18,8293 0
19,70644 45,60553 38,54198 29,57303 18,8293 0
19,70644 44,5753 37,61747 28,94938 18,8293 0
19,70644 44,5753 37,61747 28,94938 18,8293 0
19,70644 44,0509 37,14687 28,63193 18,8293 0
19,70644 43,52112 36,67146 28,31123 18,8293 0
19,70644 42,98651 36,19172 27,98759 18,8293 0
19,70644 42,44755 35,70806 27,66133 18,8293 0
19,70644 42,44755 35,70806 27,66133 18,8293 0
19,56024 41,90466 35,22089 27,3327 18,8293 0
19,70644 41,35825 34,73055 27,00193 18,8293 0
19,70644 40,80867 34,23737 26,66924 18,44921 0
19,70644 40,25623 33,74162 26,33482 18,51149 0
19,70644 39,70122 33,24356 25,99884 18,39862 0
44,3344 39,13607 32,74344 25,66147 18,28527 0
44,3344 39,13607 32,74344 25,66147 18,28527 0
43,17763 37,9765 31,73776 24,98306 18,05736 0
43,17763 37,9765 31,73776 24,98306 18,05736 0
42,59654 37,394 31,23257 24,64227 17,94285 0
42,01387 36,80993 30,72602 24,30056 17,82802 0
41,4298 36,22445 30,21824 23,93482 17,71293 0
41,4298 36,22445 30,21824 23,93482 17,71293 0
40,84447 35,6377 29,70936 23,55212 17,54379 0
40,25799 35,04979 29,19948 23,16867 17,34795 0
39,67048 34,46087 28,68871 22,78455 17,15176 0
38,49279 33,28032 27,66484 22,01456 16,7585 0
38,49279 33,28032 27,66484 22,01456 16,7585 0
37,86757 32,68888 27,1519 21,62881 16,56148 -0,02202857
37,86757 32,68888 27,1519 21,62881 16,56148 -0,04139434
37,32322 32,18239 26,724 21,32588 16,44495 -0,05107722
37,32322 32,18239 26,724 21,32588 16,44495 -0,05107722
36,80215 31,70022 26,32055 21,04729 16,35345 -0,06076011
36,27863 31,21541 25,91463 20,76695 16,262 -0,06076011
36,27863 31,21541 25,91463 20,76695 16,262 -0,070443
35,79182 30,76895 25,54733 20,52522 16,16491 -0,070443
35,3284 30,34689 25,20479 20,3089 16,02673 -0,1479061
35,3284 30,34689 25,20479 20,3089 16,02673 -0,1769547
34,75267 29,91616 24,9363 20,24249 16,06757 -0,1963205
34,48014 29,73393 24,84426 20,17236 16,14545 -0,1963205
34,16045 29,45122 24,62602 20,05429 16,18095 -0,2060034
33,93805 29,27213 24,51382 20,04354 16,2297 -0,2156863
33,47858 28,84053 24,14621 19,7821 16,03749 -0,2447349
33,47858 28,84053 24,14621 19,7821 16,03749 -0,2641007
33,59834 29,02546 24,40671 20,14956 16,33082 -0,3125151
33,47753 28,9546 24,40954 20,1249 16,43299 -0,3318809
33,33437 28,86065 24,33572 20,08281 16,52579 -0,3318809
33,21499 28,77171 24,29976 20,13799 16,58102 -0,3318809
33,21499 28,77171 24,29976 20,13799 16,58102 -0,3318809
33,42059 29,00356 24,60762 20,54399 16,8955 -0,3318809
33,01041 28,61089 24,27123 20,26868 16,71065 -0,3318809
33,01041 28,61089 24,27123 20,26868 16,71065 -0,3318809
33,35222 28,98072 24,67888 20,5924 17,15687 -0,3318809
33,30186 28,92273 24,63571 20,63465 17,1819 -0,3318809
32,91497 28,53736 24,29722 20,37998 16,97189 -0,3318809
32,91497 28,53736 24,29722 20,37998 16,97189 -0,3318809
33,22881 28,79476 24,6378 20,76646 17,31239 -0,3318809
33,22881 28,79476 24,6378 20,76646 17,31239 -0,322198
33,56464 28,86517 24,78436 20,84435 17,50466 -0,322198
33,68381 28,77117 24,66312 20,78861 17,47798 -0,3125151
33,68381 28,77117 24,66312 20,78861 17,47798 -0,3028322
34,32934 28,76437 24,65758 20,87113 17,52888 -0,2931494
34,76403 28,58698 24,51719 20,81847 17,47498 -0,2544178
35,33208 28,37358 24,34278 20,66933 17,39933 -0,2447349
35,33208 28,37358 24,34278 20,66933 17,39933 -0,235052
36,49385 28,15241 24,16286 20,48694 17,32565 -0,2156863
50 27,87806 23,93205 20,26583 17,18683 -0,2156863
50 27,653 23,73031 20,0886 17,02921 -0,2156863
50 27,3276 23,39935 19,83507 16,81273 -0,2156863
50 27,3276 23,39935 19,83507 16,81273 -0,2156863
50 27,20847 23,30102 19,82888 16,79791 -0,2156863
50 27,20847 23,30102 19,82888 16,79791 -0,2156863
50 26,90595 23,02241 19,6368 16,63623 -0,2060034
50 26,7004 22,7344 19,3993 16,47212 -0,2060034
50 26,7004 22,7344 19,3993 16,47212 -0,1963205
50 26,46143 22,51068 19,18382 16,36828 -0,1963205
50 26,16409 22,23605 18,92893 16,16466 -0,1963205
50 25,68455 21,79897 18,54415 15,83943 -0,1963205
50 25,3965 21,53649 18,30324 15,63401 -0,1963205
50 25,17655 21,33711 18,11547 15,47434 -0,1963205
50 24,96696 21,052 17,87717 15,27574 -0,3512467
49,57001 25,58253 21,13375 18,03411 15,40229 -0,4771242
46,47617 29,00871 21,23644 18,00793 15,43048 -0,5545873
43,07413 50 21,49723 18,18648 15,55993 -0,5642702
40,53178 48,27007 22,14815 18,53527 15,87877 -0,5642702
37,17598 45,24295 23,69421 18,67776 15,90838 -0,5642702
34,395 42,92891 49,34258 19,09518 16,31205 -0,5642702
31,79108 40,33648 47,05613 19,19295 16,23709 -0,5642702
28,72849 37,67467 44,81082 20,3883 16,70641 -0,5449044
24,95001 34,08059 41,56168 47,43986 17,10732 -0,3415638
23,03101 31,87277 39,31765 45,44412 16,98868 -0,1963205
22,18989 30,83123 38,26588 44,45009 17,00677 -0,1672719
21,45905 29,88153 37,28527 43,50718 17,11815 -0,06076011
21,43974 29,17964 36,27578 42,31387 16,60771 -0,04139434
21,43974 29,17964 36,27578 42,31387 16,60771 -0,04139434
21,41144 28,82144 35,76778 41,71795 16,36176 -0,04139434
21,38646 28,48674 35,27973 41,14441 16,16801 -0,04139434
21,25559 28,14091 34,78416 40,56547 16,00464 -0,04139434
21,16222 27,83918 34,32426 40,02424 15,80253 -0,04139434
21,16222 27,83918 34,32426 40,02424 15,80253 -0,04139434
20,95032 27,41373 33,76843 39,38852 15,7269 -0,04139434
20,81373 27,07211 33,27917 38,82124 15,57237 -0,04139434
20,64581 26,69992 32,76688 38,23233 15,60401 -0,04139434
20,64581 26,69992 32,76688 38,23233 15,60401 -0,04139434
20,37091 26,21775 32,15394 37,55969 15,8611 -0,04139434
20,17118 25,81774 31,6106 36,95346 16,10654 -0,04139434
19,93885 25,38614 31,0371 36,3246 16,9816 -0,04139434
19,93885 25,38614 31,0371 36,3246 16,9816 -0,04139434
19,72287 24,97404 30,48495 35,71286 40,27838 -0,04139434
19,72287 24,97404 30,48495 35,71286 40,27838 -0,04139434
19,51238 24,56973 29,94216 35,10896 39,66025 -0,04139434
19,33154 24,19846 29,43392 34,53231 39,06553 -0,04139434
19,03309 23,75971 28,8592 33,9029 38,42906 -0,04139434
19,03309 23,75971 28,8592 33,9029 38,42906 -0,04139434
18,70682 23,28631 28,25111 33,21443 37,77206 0
18,70682 23,28631 28,25111 33,21443 37,77206 0
18,48015 22,9466 27,77795 32,65619 37,20315 0
18,2485 22,60163 27,30029 32,09438 36,61987 0
18,01235 22,23995 26,81858 31,52935 36,02506 0
18,01235 22,23995 26,81858 31,52935 36,02506 0
17,77215 21,85316 26,3332 30,96142 35,4283 0
17,5283 21,46312 25,84454 30,39088 34,8298 0
