"Variable","Exponent","Coeff."
"x1",1,1.896534903668094
"x2",1,-1.2652277071815028
"x3",1,-0.2010457856672807
"x4",1,-0.30006409313620575
"x5",1,0.48756994117342245

"x1",2,-0.14192381048026328
"x2",2,0.06793867086215136
"x3",2,0.01797455949552655
"x4",2,0.04461746954713519
"x5",2,-0.07351089716524958

"x1",3,0.0053242933453843694
"x2",3,-0.0018026063532814646
"x3",3,-0.0008302299113159112
"x4",3,-0.0024327270159660323
"x5",3,0.00473797887233356

"x1",4,-0.00010615952868219817
"x2",4,0.00002330094647753101
"x3",4,0.000021639391214862223
"x4",4,0.00006362332309231551
"x5",4,-0.0001493966754550788

"x1",5,0.000001072637715728868
"x2",5,-0.00000010779567847059445
"x3",5,-0.0000003009253472336802
"x4",5,-0.0000008096545534022186
"x5",5,0.0000022755767607246166

"x1",6,-0.000000004317716224530317
"x2",6,-0.00000000016362881748004007
"x3",6,0.000000001726454421608149
"x4",6,0.000000004048355521366342
"x5",6,-0.000000013391490434040537

"Intercept",0,-0.8852850206419234
